"March 31, 2018 civil + crim cases pending from tables ""D Cases"" (criminal) and C-1 (civil)",,,,,,,,,
criminal,https://www.uscourts.gov/statistics/table/d-cases/federal-judicial-caseload-statistics/2018/03/31,,,,,,,,
civil,https://www.uscourts.gov/statistics/table/c-1/federal-judicial-caseload-statistics/2018/03/31,,,,,,,,
,,,,,,,,,
abbreviation,civil,criminal,total,,,,,,
akd,420,283,703,,,,,,
ald,#N/A,#N/A,#N/A,,,,,,
almd,1255,369,1624,,,,,,
alnd,2553,569,3122,,,,,,
alsd,526,296,822,,,,,,
ared,1482,519,2001,,,,,,
arwd,831,315,1146,,,,,,
azd,6890,2248,9138,,,,,,
cacd,9816,2160,11976,,,,,,
caed,5648,1729,7377,,,,,,
cand,8502,798,9300,,,,,,
casd,2852,2376,5228,,,,,,
cod,2498,951,3449,,,,,,
ctd,2425,389,2814,,,,,,
dcd,3411,672,4083,,,,,,
ded,1977,182,2159,,,,,,
flmd,6329,1395,7724,,,,,,
flnd,2315,564,2879,,,,,,
flsd,4406,1284,5690,,,,,,
gamd,1195,498,1693,,,,,,
gand,5020,1052,6072,,,,,,
gasd,841,777,1618,,,,,,
gud,169,75,244,,,,,,
hid,561,325,886,,,,,,
iand,365,201,566,,,,,,
iasd,443,319,762,,,,,,
idd,671,346,1017,,,,,,
ilcd,1602,276,1878,,,,,,
ilnd,15537,1255,16792,,,,,,
ilsd,2189,247,2436,,,,,,
indianad,#N/A,#N/A,#N/A,,,,,,
innd,2357,450,2807,,,,,,
insd,6691,370,7061,,,,,,
ksd,2032,1206,3238,,,,,,
kyed,1490,449,1939,,,,,,
kywd,1389,703,2092,,,,,,
laed,36625,236,36861,,,,,,
lamd,2086,223,2309,,,,,,
lawd,1964,262,2226,,,,,,
mad,6633,453,7086,,,,,,
mdd,3774,4022,7796,,,,,,
med,433,149,582,,,,,,
mied,5009,900,5909,,,,,,
miwd,1215,187,1402,,,,,,
mnd,8423,239,8662,,,,,,
moed,1964,888,2852,,,,,,
mowd,1476,921,2397,,,,,,
msnd,730,119,849,,,,,,
mssd,1536,282,1818,,,,,,
mtd,719,295,1014,,,,,,
nced,2075,2115,4190,,,,,,
ncmd,1165,405,1570,,,,,,
ncwd,1185,456,1641,,,,,,
ndd,367,292,659,,,,,,
ned,595,418,1013,,,,,,
nhd,904,127,1031,,,,,,
njd,20054,792,20846,,,,,,
nmd,1223,1403,2626,,,,,,
nmid,47,25,72,,,,,,
nvd,4805,751,5556,,,,,,
nyed,9779,1931,11710,,,,,,
nynd,1740,589,2329,,,,,,
nysd,12757,3379,16136,,,,,,
nywd,3295,641,3936,,,,,,
ohnd,4700,442,5142,,,,,,
ohsd,6240,726,6966,,,,,,
oked,466,83,549,,,,,,
oknd,664,112,776,,,,,,
okwd,1087,969,2056,,,,,,
ord,2310,487,2797,,,,,,
paed,6103,957,7060,,,,,,
pamd,2903,752,3655,,,,,,
pawd,1961,563,2524,,,,,,
prd,2105,1094,3199,,,,,,
rid,709,130,839,,,,,,
scd,3612,973,4585,,,,,,
sdd,392,486,878,,,,,,
southcarolinaed,#N/A,#N/A,#N/A,,,,,,
southcarolinawd,#N/A,#N/A,#N/A,,,,,,
tned,1473,488,1961,,,,,,
tnmd,1473,300,1773,,,,,,
tnwd,1622,856,2478,,,,,,
txed,3368,663,4031,,,,,,
txnd,13683,1118,14801,,,,,,
txsd,5126,5891,11017,,,,,,
txwd,2731,4133,6864,,,,,,
utd,1648,646,2294,,,,,,
vaed,2543,1713,4256,,,,,,
vawd,927,306,1233,,,,,,
vid,414,680,1094,,,,,,
vtd,314,186,500,,,,,,
waed,783,319,1102,,,,,,
wawd,2340,1051,3391,,,,,,
wied,1610,298,1908,,,,,,
wiwd,968,212,1180,,,,,,
wvnd,720,201,921,,,,,,
wvsd,24840,209,25049,,,,,,
wyd,212,720,932,,,,,,
